experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,0,900,0,-5.0
1800,0,0,1800,0,-12.0
2700,0,0,2700,0,-18.0
3057,0,0,3057,0,-21.0
3600,1,0,543,0,-24.0
4500,1,0,1443,0,-30.0
5400,1,0,2343,0,-36.0
6114,1,0,3057,0,-42.0
6300,2,0,186,0,-42.0
7200,2,0,1086,0,-48.0
8100,2,0,1986,0,-55.0
9000,2,0,2886,0,-61.0
9171,2,0,3057,0,-63.0
9900,3,0,729,0,-67.0
10800,3,0,1629,0,-73.0
11700,3,0,2529,0,-80.0
12228,3,0,3057,0,-84.0
12600,4,0,372,0,-85.0
13500,4,0,1272,0,-90.0
14400,4,0,2172,0,-96.0
15300,4,0,3072,0,-103.0
15525,4,0,3297,0,-105.0
16200,5,0,675,0,-108.0
17100,5,0,1575,0,-115.0
18000,5,0,2475,0,-121.0
18582,5,0,3057,0,-126.0
18900,6,0,318,0,-127.0
19800,6,0,1218,0,-133.0
20700,6,0,2118,0,-140.0
21600,6,0,3018,0,-146.0
21639,6,0,3057,0,-147.0
22500,7,0,861,0,-152.0
23400,7,0,1761,0,-158.0
24300,7,0,2661,0,-165.0
24696,7,0,3057,0,-168.0
25200,8,0,504,0,-170.0
26100,8,0,1404,0,-177.0
27000,8,0,2304,0,-183.0
27753,8,0,3057,0,-189.0
27900,9,0,147,0,-189.0
28800,9,0,1047,0,-195.0
29700,9,0,1947,0,-202.0
30600,9,0,2847,0,-208.0
30810,9,0,3057,0,-210.0
31500,10,0,690,0,-214.0
32400,10,0,1590,0,-220.0
33300,10,0,2490,0,-226.0
33867,10,0,3057,0,-231.0
34200,11,0,333,0,-232.0
35100,11,0,1233,0,-238.0
36000,11,0,2133,0,-245.0
36900,11,0,3033,0,-251.0
36924,11,0,3057,0,-252.0
37800,12,0,876,0,-257.0
38700,12,0,1776,0,-263.0
39600,12,0,2676,0,-270.0
39981,12,0,3057,0,-273.0
